name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_common_name	host_subject_id	latitude	longitude	psn	region	sample_type	sequencecenter	title
1928.SRS011173.SRX020669.SRR049317	Sample 1928.SRS011173.SRX020669.SRR049317			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700014991	38.98	-77.11	700014991	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011175.SRX020666.SRR044910	Sample 1928.SRS011175.SRX020666.SRR044910			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700014994	38.98	-77.11	700014994	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011175.SRX020669.SRR045292	Sample 1928.SRS011175.SRX020669.SRR045292			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700014994	38.98	-77.11	700014994	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011177.SRX020666.SRR044936	Sample 1928.SRS011177.SRX020666.SRR044936			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700014997	38.98	-77.11	700014997	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011177.SRX020669.SRR045318	Sample 1928.SRS011177.SRX020669.SRR045318			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700014997	38.98	-77.11	700014997	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011179.SRX020515.SRR045376	Sample 1928.SRS011179.SRX020515.SRR045376			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700015000	38.98	-77.11	700015000	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011180.SRX020515.SRR045372	Sample 1928.SRS011180.SRX020515.SRR045372			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	host-associated habitat		USA	human	700015003	38.98	-77.11	700015003	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011180.SRX020571.SRR045481	Sample 1928.SRS011180.SRX020571.SRR045481			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	host-associated habitat		USA	human	700015003	38.98	-77.11	700015003	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011181.SRX020515.SRR045370	Sample 1928.SRS011181.SRX020515.SRR045370			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	host-associated habitat		USA	human	700015006	38.98	-77.11	700015006	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011182.SRX020515.SRR045359	Sample 1928.SRS011182.SRX020515.SRR045359			UBERON:skin	UBERON:sebum	UBERON:skin of nose	97	urban biome	host-associated habitat		USA	human	700015009	38.98	-77.11	700015009	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011271.SRX020666.SRR044974	Sample 1928.SRS011271.SRX020666.SRR044974			Colon	UBERON:feces	Colon	97	urban biome	host-associated habitat		USA	human	700015250	38.98	-77.11	700015250	V3-V5	stool	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011271.SRX020669.SRR049646	Sample 1928.SRS011271.SRX020669.SRR049646			Colon	UBERON:feces	Colon	97	urban biome	host-associated habitat		USA	human	700015250	38.98	-77.11	700015250	V3-V5	stool	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011273.SRX020666.SRR044970	Sample 1928.SRS011273.SRX020666.SRR044970			UBERON:oral cavity	UBERON:saliva	UBERON:oral cavity	97	urban biome	host-associated habitat		USA	human	700015260	38.98	-77.11	700015260	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
